question,answer
Can I ask for mandatory reconsideration for this benefit?,Yes
Will I get up to £2010?,Yes
Do I need a licence to export cultural goods?,No
Can I get Cold Weather Payments?,Yes
Will I need multiple Medicare provider numbers?,Irrelevant
Could I be eligible for Shared Parental Leave?,Yes
Can I use the market value of the property when working out my gain?,did you own it before April 1982
Have I contributed through my National Insurance contributions?,Were you caring for a sick or disabled person more than 20 hours a week and claiming Carer’s Credit?
Can this benefit reduced or stopped?,Did you commit benefit fraud?
Am I committing benefit fraud?,Yes
May I receive VA benefits and services?,Yes
Can I use the market value of the property when working out my gain?,Yes
Can some of my benefit stop?,Yes
Can I apply to extend my leave to study?,Is your sponsor an independant school?
Can I ask for mandatory reconsideration for this benefit?,No
Can I claim my Medicare benefit?,Yes
Can I charge VAT on this?,No
Do I qualify for this benefit program?,Have you  worked in Indiana during the past 12 to 18 months?
Do need to tell HM Revenue and Customs about this?,Yes
Is it possible that I may have to pay UK tax on overseas property?,Are you a non-resident?
Am I entitled to the National Minimum Wage?,No
Can the regular amount of benefit I get be reduced?,Are you still receiving the benefit?
Can I ask for mandatory reconsideration for this benefit?,Yes
May I qualify for VA health care benefits?,Were you active in the military?
Do I have authority to lodge data for file upload?,Yes
Do these benefits apply to me?,Irrelevant
Do I qualify for this benefit?,No
Do I need to wear a seat belt?,No
Can I ask the Upper Tribunal (Administrative Appeals Chamber) for permission to appeal?,Yes
Can I export this product to North Korea?,No
Can I get Crisis Payment?,Yes
May I be eligible for this program?,Are you married to a Native American non-Veteran?
Can I get Cold Weather Payments?,Are you employed or self-employed?
Can I get Cold Weather Payments?,Yes
Am I entitled to the National Minimum Wage?,Yes
Do I need to register?,Are you a couple?
Can this benefit be reduced or stopped?,Yes
Am I eligible for Head Start and Early Head Start?,Yes
Do I qualify for this benefit program?,No
Will I get the National Minimum Wage?,Are you of compulsory school age?
Can I ask for mandatory reconsideration for this benefit?,Yes
Can I get tax relief?,Did you donate straight from your wages or pension?
Can I get Cold Weather Payments?,Yes
Can I get Public Housing?,Yes
Can I export this product to North Korea?,No
Can I grow my own plants?,Yes
Can I export this plant?,Are you sending it to another ‘protected zone’?
Can I use the minimum wage calculator?,Yes
Do I qualify for Guarantee Credit?,No
Can I claim this expense?,Yes
Do I need to register?,Are you a couple?
Am I eligible?,Is your course a level 3 or 4 qualification?
Can I qualify for a Winter Fuel Payment?,No
Can the Farm Service Agency help me?,are you a rancher?
Are there special rules for exporting these chemicals?,Are you within the EU?
Will my application be sent to the Reviewing Committee?,Yes
Can this payment be stopped or reduced?,Do you have statutory Sick Pay?
Am I eligible?,Are a serving member of the UK armed forces (or their spouse or civil partner or a dependent parent living with them) not resident in the UK and your course started after 1 August 2017
Do I qualify for Guarantee Credit?,Do you live in England?
Can my Business use Centrepay?,No
Can I apply for a discount?,Yes
Do I have to pay Income Tax at a higher rate?,Yes
Am I eligible for EIDL?,No
Will there will be any change to my rights and status?,No
Am I eligible for the Parenting Payment?,Do you meet residence rules?
Do I have to pay Capital Gains Tax when I sell a property?,No
Do I need to apply for Universal Credit?,No
Is this a digital service?,Yes
Do I need a licence to export these chemicals?,Yes
Can I appoint a Child Support representative?,Yes
Can I carry on claiming Carer’s Allowance if I go on holiday?,Irrelevant
Can I ge the full amount?,Do you have few expenses?
Can I inherit my spouse’s Additional State Pension?,Did your spouse die before they reached their State Pension age?
Can I use Centrepay?,Yes
Can I get the National Living Wage?,Are you a worker over 25?
Is this a digital service?,Yes
Does this count as work?,Yes
Do I need to wear a helmet?,No
Can I get tax relief?,Did you donate through gift aid?
Can I apply for the Low Income Health Care Card?,Irrelevant
Will I be asked questions by this person?,Yes
Can I appoint a Child Support representative?,Is the person the other parent in your child support case?
Am I able to take all the money in my pension as a tax-free lump sum?,Are you under 75?
Can I be classed as a worker?,Do you have a contract or other arrangement to do work or services personally for a reward (your contract doesn’t have to be written)?
Can I inherit my spouse’s Additional State Pension?,Did your spouse die before they reached their State Pension age?
Am I eligible to claim Child Tax Credit?,No
Can I use the same certificate?,Yes
Can I obtain an NADL?,No
Can I claim this benefit?,No
Can I export this product to North Korea?,Are you exporting a pure bred horse?
Am I considered Veteran?,No
Can I export products made from this animal?,Irrelevant
Can I export this product to North Korea?,Are you exporting a pure bred horse?
Am I eligible for this benefit program?,Are you  except for a child of military parent(s) assigned to permanent duty anywhere outside the United States?
Am I eligible for this program?,Do you have at least 3 years history owning or operating  a fishery or comparable project?
Can I apply for a discount?,No
Can I claim and deal with tax credits for this person?,Yes
Will there will be any change to my rights and status?,Yes
Do I have authority to lodge data for file upload?,Yes
Do I have authority to lodge data for file upload?,No
Does this loan meet my needs?,No
Am I able to claim the new State Pension?,Are you a man born on or after 6 April 1951?
Am I eligible?,No
Can I claim bereavement benefits?,Yes
Can I claim this expense?,Yes
Can this farmer get a credit from the FSA farm loan program?,Is this farmer able to obtain credit from the commercial lending sector?
Does the loan meet my needs?,Did you need a loan over $2 million?
Do I qualify for this benefit program?,Have you  worked in Indiana during the past 12 to 18 months?
Do I qualify for assistance?,Are you unable to obtain  credit elsewhere at reasonable rates and terms to meet actual needs?
Can I get tax relief?,Yes
Can I get tax credits?,Yes
Can I stop paying Class 1 National Insurance?,Yes
Do I need a plant passport?,Is it on either list?
Can I have a cooperative in this location?,Yes
Am I eligible for Assistance for Isolated Children?,Irrelevant
Can this fund compensate my losses?,No
Can I export this product to North Korea?,is it coins and banknotes that aren’t legal tender?
Can this benefit reduced or stopped?,No
Am I entitled to the correct minimum wage,Yes
Will I be paid this month?,No
Do I qualify for this benefit program?,Yes
Am I eligible?,No
Can I appoint a Child Support representative?,Is the person 18 years of age or older?
Do I need to pay tax?,Does your total annual income add up to less than your personal allowance?
Can I get tax relief?,Yes
Am I entitled to the National Minimum Wage?,No
Is this income suitable for me?,Irrelevant
Can I get the discount on my gas bill instead?,Does your supplier provide you with both gas and electricity?
Do I need to register?,Are all family members on the same Medicare card?
Does this payment count as paid work?,Was it money paid for a 'Rent a Room' scheme?
Is this airport manager performing all their duties?,No
Do I need to contact Jobcentre Plus to claim Housing Benefit along with my application for this benefit?,Yes
Can I claim this benefit?,No
Am I eligible?,Are you purchasing or refinancing with an FHA-insured mortgage?
Does my kid need to ride in a federally-approved child safety seat?,Irrelevant
Am I eligible for the SBA 7(a) program?,No
Can this benefit reduced or stopped?,Yes
Am I in Priority Group 1-3?,Are you a service-connected Veteran who was awarded the Purple Heart Medal or Medal of Honor?
Can I get Universal Credit and Housing Benefit at the same time?,No
